icd10;entity_level_10;entity_level_11;entity_level_12;entity_level_13;entity_level_20;entity_level_30
c160;980;990;970;;;70
c161;980;990;970;;;70
c162;980;990;970;;;70
c163;980;990;970;;;70
c164;980;990;970;;;70
c165;980;990;970;;;70
c166;980;990;970;;;70
c168;980;990;970;;;70
c169;980;990;970;;;70
c17;980;990;970;;;80
c170;980;990;970;;;80
c171;980;990;970;;;80
c172;980;990;970;;;80
c173;980;990;970;;;80
c178;980;990;970;;;80
c179;980;990;970;;;80
c18;980;990;970;;520;90
c180;980;990;970;;520;90
c181;980;990;970;;520;90
c182;980;990;970;;520;90
c183;980;990;970;;520;90
c184;980;990;970;;520;90
c185;980;990;970;;520;90
c186;980;990;970;;520;90
c187;980;990;970;;520;90
c188;980;990;970;;520;90
c189;980;990;970;;520;90
c19;980;990;970;;520;100
c20;980;990;970;;520;100
c21;980;990;970;;;105
c210;980;990;970;;;105
c211;980;990;970;;;105
c212;980;990;970;;;105
c218;980;990;970;;;105
c22;980;990;970;;;110
c220;980;990;970;;;110
c221;980;990;970;;;110
c222;980;990;970;;;110
c223;980;990;970;;;110
c224;980;990;970;;;110
c227;980;990;970;;;110
c229;980;990;970;;;110
c23;980;990;970;;;120
c24;980;990;970;;;120
c240;980;990;970;;;120
c241;980;990;970;;;120
c248;980;990;970;;;120
c249;980;990;970;;;120
c25;980;990;970;;;130
c250;980;990;970;;;130
c251;980;990;970;;;130
c252;980;990;970;;;130
c253;980;990;970;;;130
c254;980;990;970;;;130
c257;980;990;970;;;130
c258;980;990;970;;;130
c259;980;990;970;;;130
c26;980;990;970;;;420
c260;980;990;970;;;420
c261;980;990;970;;;420
c268;980;990;970;;;420
c269;980;990;970;;;420
c30;980;990;970;;;140
c300;980;990;970;;;140
c301;980;990;970;;;140
c31;980;990;970;;;140
c310;980;990;970;;;140
c311;980;990;970;;;140
c312;980;990;970;;;140
c313;980;990;970;;;140
c318;980;990;970;;;140
c319;980;990;970;;;140
c32;980;990;970;;;150
c320;980;990;970;;;150
c321;980;990;970;;;150
c322;980;990;970;;;150
c323;980;990;970;;;150
c328;980;990;970;;;150
c329;980;990;970;;;150
c33;980;990;970;;;160
c34;980;990;970;;;160
c340;980;990;970;;;160
c341;980;990;970;;;160
c342;980;990;970;;;160
c343;980;990;970;;;160
c348;980;990;970;;;160
c349;980;990;970;;;160
c37;980;990;970;;;410
c38;980;990;970;;;410
c380;980;990;970;;;410
c381;980;990;970;;;410
c382;980;990;970;;;410
c383;980;990;970;;;410
c384;980;990;970;;;170
c388;980;990;970;;;410
c39;980;990;970;;;420
c390;980;990;970;;;420
c398;980;990;970;;;420
c399;980;990;970;;;420
c40;980;990;970;;;340
c400;980;990;970;;;340
c401;980;990;970;;;340
c402;980;990;970;;;340
c403;980;990;970;;;340
c408;980;990;970;;;340
c409;980;990;970;;;340
c41;980;990;970;;;340
c410;980;990;970;;;340
c411;980;990;970;;;340
c412;980;990;970;;;340
c413;980;990;970;;;340
c414;980;990;970;;;340
c418;980;990;970;;;340
c419;980;990;970;;;340
c43;980;990;970;;;290
c430;980;990;970;;;290
c431;980;990;970;;;290
c432;980;990;970;;;290
c433;980;990;970;;;290
c434;980;990;970;;;290
c435;980;990;970;;;290
c436;980;990;970;;;290
c437;980;990;970;;;290
c438;980;990;970;;;290
c439;980;990;970;;;290
c44;980;;;;;300
c440;980;;;;;300
c441;980;;;;;300
c442;980;;;;;300
c443;980;;;;;300
c444;980;;;;;300
c445;980;;;;;300
c446;980;;;;;300
c447;980;;;;;300
c448;980;;;;;300
c449;980;;;;;300
c45;980;990;970;;;170
c450;980;990;970;;;170
c451;980;990;970;;;410
c452;980;990;970;;;410
c457;980;990;970;;;410
c459;980;990;970;;;170
c46;980;990;970;;;410
c460;980;990;970;;;410
c461;980;990;970;;;410
c462;980;990;970;;;410
c463;980;990;970;;;410
c467;980;990;970;;;410
c468;980;990;970;;;410
c469;980;990;970;;;410
c47;980;990;970;;;410
c470;980;990;970;;;410
c471;980;990;970;;;410
